source,target,value
0,5,1
0,9,1
0,11,1
0,17,1
0,26,1
0,24,1
0,20,1
0,21,1
0,41,1
0,50,1
0,37,1
0,31,1
0,63,1
0,43,1
0,51,1
0,60,1
0,58,1
0,46,1
0,47,1
0,44,1
0,146,1
0,74,1
0,86,1
0,98,1
0,122,1
0,143,1
0,124,1
0,94,1
0,118,1
0,141,1
0,132,1
0,97,1
0,110,1
0,79,1
0,128,1
0,115,1
0,66,1
0,147,1
0,105,1
0,295,1
0,160,1
0,473,1
0,304,1
0,474,1
0,325,1
0,357,1
0,221,1
0,475,1
0,330,1
0,476,1
0,455,1
0,285,1
0,477,1
0,432,1
0,365,1
0,316,1
0,478,1
0,470,1
0,400,1
0,336,1
0,184,1
0,183,1
0,287,1
0,308,1
0,266,1
0,413,1
0,397,1
0,358,1
0,272,1
0,271,1
0,479,1
0,245,1
0,392,1
0,390,1
0,256,1
0,214,1
0,469,1
0,178,1
0,480,1
0,447,1
0,463,1
0,429,1
0,352,1
0,481,1
0,326,1
0,333,1
0,232,1
0,270,1
0,465,1
0,247,1
0,482,1
0,301,1
0,345,1
0,372,1
0,483,1
0,399,1
0,484,1
0,251,1
0,234,1
0,405,1
0,203,1
0,165,1
0,204,1
0,262,1
0,485,1
0,406,1
0,220,1
0,244,1
0,486,1
0,438,1
0,414,1
0,387,1
0,233,1
0,395,1
0,487,1
0,396,1
0,394,1
0,424,1
0,281,1
0,275,1
0,258,1
0,412,1
0,488,1
0,453,1
0,259,1
0,489,1
0,490,1
0,296,1
0,155,1
0,385,1
0,181,1
0,362,1
0,491,1
0,213,1
0,208,1
0,458,1
0,152,1
0,339,1
0,298,1
0,328,1
0,445,1
0,449,1
0,268,1
0,446,1
0,273,1
0,212,1
0,379,1
0,492,1
0,229,1
0,493,1
0,176,1
0,383,1
0,240,1
0,418,1
0,494,1
0,495,1
0,496,1
0,264,1
0,497,1
0,299,1
0,498,1
0,350,1
0,462,1
0,359,1
0,346,1
0,363,1
0,428,1
0,291,1
0,499,1
0,500,1
0,407,1
0,250,1
0,501,1
0,321,1
0,464,1
0,315,1
0,263,1
0,502,1
0,170,1
0,503,1
0,200,1
0,246,1
0,384,1
0,202,1
0,174,1
0,188,1
1,64,1
1,62,1
1,36,1
1,100,1
1,408,1
1,409,1
1,369,1
1,158,1
1,504,1
1,505,1
1,403,1
1,376,1
1,159,1
1,461,1
1,393,1
1,223,1
1,284,1
1,506,1
1,349,1
1,186,1
1,507,1
1,180,1
1,508,1
2,3,1
2,6,1
2,7,1
2,10,1
2,54,1
2,426,1
2,410,1
2,509,1
2,252,1
2,443,1
2,226,1
2,361,1
2,510,1
2,511,1
2,318,1
3,14,1
3,136,1
3,225,1
3,512,1
3,513,1
3,355,1
3,380,1
3,351,1
3,348,1
3,391,1
3,260,1
3,210,1
3,514,1
3,515,1
4,103,1
4,78,1
4,116,1
4,173,1
