class,example,teach,answer
非常符合,非常符合,非常符合,非常符合
符合,非常符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
符合,一般,非常符合,非常符合
符合,一般,符合,符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
符合,非常符合,符合,非常符合
符合,非常符合,非常符合,符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,符合,符合
非常符合,符合,非常符合,非常符合
符合,符合,符合,符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
符合,符合,符合,非常符合
符合,一般,符合,符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
符合,符合,符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
非常符合,非常符合,符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
符合,符合,非常符合,符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
符合,符合,一般,符合
非常符合,非常符合,符合,符合
非常符合,符合,符合,符合
非常符合,符合,符合,符合
非常符合,非常符合,非常符合,非常符合
符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,非常符合,非常符合
非常符合,非常符合,符合,符合
非常符合,一般,符合,符合
非常符合,符合,非常符合,非常符合
符合,符合,非常符合,符合
